label,text
1,"This sucked!The WORST English dub EVER!Crayon Shinchan is long TV series that lasted close to 12 years in Japan. Funimation did NOT purchase the entire series just a handful of episodes, so you don't see how the stories and characters developed and changed over the many seasons.The English dub they made changed the entire dialogue and Americanized practically ALL the characters and situations to an extreme low brow humor. Granted the original show did have a lot of puns, and low brow humor as well, but Shinchan did retain an innocence for his mischief, being the focus that he was always this incredible force of fun shaped as a 5 year old boy. True fans of the manga and series should NOT buy this lame production by Funimaiton."
2,"This reasonably short book summarizes the basics of personal finance in an easy to read witty style. It's aimed at the intelligent but beginning investor looking for practical advice and guidance on investing and money management. Although it does discuss buying options, day-trading, etc. readers looking for detailed comprehensive information and advice on these and similar topics probably should look elsewhere (or perhaps they should look here first-- after reading this book they might think twice about investing in more complicated schemes). For those looking for sound unbiased advice and information on basic investing and money management however this book will be very helpful. And as an added bonus, its actually fun and enjoyable to read."
2,"Discomfiting, penetrating, imaginative, and very grey, this book deserves its fame not for elegance of prose (it is only adequately written) nor for an interesting plot (not much happens, at least as novels usually go), but for its indelible, devastating portrait of human degradation and its far-fetched-yet-just-around-the-corner description of the hows and whys of totalitarian power. A dramatic, illuminating read."
1,"While Ross is an excellent writer and I hate to leave a review that nit-picks the format rather than the content, I think it's useful for those considering buying the Kindle edition to be warned that the digital text has numerous obvious copy errors, seemingly created when scanning the book: ""candles"" become ""candies"", ""corn"" becomes ""com"", etc., over and over throughout the book. It's usually easy to work out what the word should have been, but it's very distracting and breaks the flow of the text."
1,"Dont bother with this crap! It is one of the worst if not the worst! Movies that I have ever seen! It has bad acting,story and it is so so boring! I dont understand the point of this movie! TERRIBLE! DONT BOTHER!"
1,"I purchased another MK315 because I smoked the first one during an electrical storm. I received my Minn Kota MK315 and the first thing I noticed was the poor packaging from AMAZON.com. As heavy as that unit is, they tossed it in a box with a couple of piece of bubble wrap which allowed the unit to beat the outside box and unit box to pieces. Since it was left on my doorstep, wasn't much I could do. Upon installation, the ""Power"" light did not work. Unit seems to charge all three batteries fine. Minn Kota says there is no warranty because I cut the power cord to install in the boat. In their words; ""The MK-315 is a reliable charger. It is unlikely that the charger was defective right out of the box. Unfortunately because the AC plug was altered the warranty is now void. The chargers are a sealed unit and cannot be repaired."" I do believe that will be the last Minn Kota charger I buy!"
2,"This DVD has superior picture than the video version. Its a good film of effects and the audio is far superior on DVD. I thought it sounded smooth and clear and dialog is easily heard. Hugh Crane haunted the house with spookier sounds that were unnoticed on video or in most theaters. I love films, but I am not that picky on the tech spects, but if you want to own this film, get DVD. It rules, and its easy to use for anyone who likes movies."
1,"I ordered several designs of the Cacharel shirts and was very disappointed when they arrived because the fabric was extremely thin. I always wear a white undershirt, and that fact was very evident since one could literally see through the shirt."
1,"I'm so glad to see others corroborate my experience with this meshuggah printer !Nothing but trouble - paper jams all the time, slow, awful - I thought it was maybe because I was using a Mac but apparently not.STAY AWAY at ANY price !"
2,"A truly, life-changing experience. Magic realism, cyclical time, who could ask for anything more? Thank you, Gabriel Garcia Marquez, for giving me this treasure and creating a cultural mythos for all of us."
2,"Una excelente gua para todos aquellos que deseen concer ms aobre el vino y su mundo. De forma amena y sencilla explica los principales conceptos y orienta sobre temas bsicos como la eleccin del vino corecto, principales tipos de vino, cmo comprar vino en restaurantes o tiendas, etc."
2,"It was delivered in record time, well under the stipulated period for overseas delivery and in excellent condition. The dvd's were too tightly fitted which made removing them a task, but nothing a bit of patience couldn't fix. Good buy, great service."
1,"I never write reviews but I just felt compelled after I saw this video. It's 70% listening to parents and kids think about Thomas and maybe 30% Thomas related. What is worse is that you have to fast forward through a bunch of the rambling in order to see what amounts to a 5 minute story. And, there is only one song in the ""Sing A Long"". I really liked Thomas stories after watching them on PBS with my daughter. Next time, I will try to find those stories on video. They actually last about 15 minutes and do not involve mindless prattle from people I don't know."
2,EXPENABLE I thought was a very good book. I normally don't like science fiction but James Alan Gardner is a very good author. EXPENDABLE is truly one of the best books I've ever read.
1,"This was a pretty damn boring movie. Thank god I did not buy it, for I would be rather angry at myself. Boring plot, boring actors, you can probably see where I'm going with this. They couldn't even throw any gore into the movie for at least something to watch. I guess that would have put them over budget. I will say that I thought the cover art looked pretty cool, which is why I rented it in the first place. So overall, I would not recommend this to anyone."
2,I am completely happy with purchasing the Silk Stalkings t.v. series season one through six. I am looking forward to more of the t.v. series to come out on dvd. This has been one of my favorite thriller/crime investigation shows from all the ones I have watched. It is a classic. Hopefully Silk Stalkings will release more dvds on Amazon.
1,"The system required a check in the rating box so I gave it a one, which is probably two too many. I have tried/owned two of these devices. The concept is good, but that is the end of the line for this product. As someone else noted the bands are not strong enough to withstand even an attempt to put your finger thru the finger holes. I even continued to try and use mine after the first hole tore loose with continued failure of the bands. At the price even if used as a squeeze ball it is too expensive."
2,"From Memphis, TN. comes The Reatards, fronted, of course, by wild kid Jay Reatard. He starting off on Eric Oblivians label, Goner, at the tender age of 15. Jay, now 19, is still rocking and offending the sensibilities of his community. Overdriven, loud, crackling guitars underlaying Jay's southern crooning howl energizes some of the most amazing hate-filled song writing we've heard in years."
2,"THIS TOY WAS OUR GRANDSON'S FAVORITE, SO I JUST HAD TO FIND IT AGAIN FOR OUR NEWEST GRANDCHILD. THANK GOODNESS FOR ONLINE SHOPPING."
2,"Not certain if this is the best VALUE, but it was certainly convenient. The interior touch up spray is wonderful. Highly recommend Maguires products."
2,"This is definitely worth coppin. Got some bumpin tracks. It contains a variety of songs, she is NOT one of them artist where all tracks sound the same. 15 tracks, and at least 10 of them are worth bumpin all the time. She has a music video for ""Still Buck"" too. You can download it from her labels website. HoodooLabs.com"
2,"This album is pretty good, but as for Roger's new direction, he is now an atheist with a severe hatred for the Christianity he once preached. Which brings up the question of was he ever truly saved at all. And if he wasn't can this album truly be considered Christian? Some thoughts to wrestle with... On a strictly musical review this and Once Dead are great albums but after Roger kicked out, or had a falling out with the other band members the music suffered. If the pauses were taken out between the songs on Destruction Comes, (In which Roger plays all of the guitars as well as sings) you would seriously think it is all one long song. pretty sad."
2,"Great item, keeps my coffee warm throughout the work day. I do wish there was an automatic shut off after so long, though because I get paranoid about that kind of thing."
1,"Ok, so they had a good thing going for a while with the super villains in season eight, but rather than actually finishing a story line, they drop it and start over with something else. LAME"
2,"but the one thing that i didnt exepted is the end of the movie i didnt exept it like that, it wasnt on my mind i was thinking that something terrible will happening when i saw the movie at the first but i cant tell it`s a bad! it`s not couse it is an old movie you exept any thing couse its old but at the end it is a classic movie i cant say it`s horror half by half"
2,"This album always has been essential in a tecno pop collection and it reachs its madurity with the DTS mix.Gosh, it seems to listened to new a thing. I was so used to listen to this record with the originally hoarse sound. Like if you put your speakers facing to the floor. But now it's so clean so when you listen to it new sounds come up like if they never have been there before.Such a nice experience. Sit in middle of those 5 speakers and you won't regret it.There is only one thing I would have change. I now the originally lp press came out without the bonus tracks but, since everybody is used to the cd version, they should have put the whole tracks together and not separated, so in order to play them you have to get into a new menu.Enjoy it while it last."
2,"Remember those cassettes friends used to make for you of their favorite music? Well, they're back, only they're called Proper Boxes! The sound is nowhere near as bad as on those Complete Duke Ellington 1925-38 sets you can buy in Germany for about 20 dollars. Those sound like they were recorded in a toilet over the telephone. But this set is certainly not all it could have been. Somewhere I read somebody ask the question ""Proper versus JSP?"" That's not even a question. JSP's have fantastic remasterers doing their best. This set is only serviceable. But the music is wonderful and many of the tracks are almost impossible to find. So you have to get it. Should I review the music? No, not this time...Maybe later."
1,I found this recent remake of the classic very weak. Stewart's potrayal of Ahab didn't have any of the power of Gregory Peck's 1956 character.The camera work was also terrible. Land is clearly seen in several scenes where the men are supposedly many months out to sea.
1,"I buy/view/listen to a lot of music video's (read, sorry night life) and this one was a disappointment. Sound varies too widely act to act. Couple of goosebump moments (I love the Mega-Guitars on Kansas City) but mostly a smorgas-bored of available talent putting in their charity work. Zero additives for the video freak and no real explanation of charitable intentions ever given. Borrow this from someone instead."
1,"We couldn't be more disappointed with these diapers. We bought them for our 20-month old daughter to wear at nighttime and not once have they kept her dry. They leak through the front, the legs, the back, you name it. Really poor quality and they've put us off Pampers for life. Stay away."
1,"This pisses me off,what a burn! I knew this came out in theaters in 3D. You find in the case a coupon for the 3D version coming out ""Soon!"" Bite me Paramount. I'm taking this back for my money. Keep the coupon. What am I suppose to do with this combo after I buy the next? You and Peter Jackson must share the same marketing people."
1,"This album is not good. It's not the voice I heard on American Idol, the voice on this CD is not even good enough for Broadway. The power exhibited on American Idol is lost in this CD, I'm sorry folks, call it what you want but this CD isn't Clay Aiken. The attempt to turn him into a Pop King has taken away that beautiful voice. BRING IT BACK and forget about pop. Billboard may have said it is Pop Album of the Year but they forgot to say they took the voice away to make it pop."
1,"This was one of the most boring books i've ever read. Unfortunately i did not give up on Hawthorne after reading this novel, that was a mistake. I'd pass on this one if i were you, if you must read this for school I highly suggest getting a summary online."
2,"For many years I avoided Viet Nam era war movies. It seemed hollywood was never able to present a reasonable portrayal of the period. This movie never seemed to grope with that problem. I've read reviews of this film that criticize Fox's acting (both his ability and style), trying to say he's no different in this film than in his prior comedy roles. Nothing could be further from the truth. Fox delivers a powerful yet believeable performance in Casualties of War. He becomes a seasoned combat soldier while at the same time retaining his humanity. I will also agree with other reviewers who have pointed out that this movie is one that leaves you feeling drained but remains one to keep because it is full of emotional content, superb acting, and a well told tale."
1,This is a good ideal but you need to be measures for the right size.I have order the 2xx and it was to little and I order the 3xx and the legs or the bottom part was to big. But I have the Squeem Rubber High Back Waist Cincher Girdle Style 26J in 2xx and it fitted well.
2,"hey i love it but im an old horror movie fan , if you lov the clissic horrors you'll lov this , it realy is great , i love it ,"
1,"I am very happy that I purchased this rice cooker.It is easy to use ,brainless- just add water,rice and forget about. It is extremely convenient and makes excellent rice. Guests have asked how we cooked the rice because it was perfect."
1,"The fuse blew within minutes of use, not sure what happened. I was running an out (non-powered) from my receiver to the AMP-100 playing my exterior speakers. Within about 25-30 minutes it stopped working. At first I thought it was my new receiver but later discovered that the Amp-100 blew a fuse. I replaced the fuse, but it still didn't work. Thankful Amazon's return policy!"
2,This is a good product as it helps me keep a better grip on the PDA. It would have been a lot better though if it fit a little more tightly.
2,"This book is a magical account of meetings with a Christian Pastor and the son of the Founder of the Baha'i Faith, Abdu'l-Baha. Set back in 1912, you will feel as if you were there for these intimate talks with two very enlightened men. My heart was filled with joy and my eyes with tears in reading and experiencing a trip back in time to a spiritual world full of mysteries This book will leave you with a sense of joy, peace and awe at the Glory of God and our purpose in this life. This very personal book will pierce your soul."
2,"This is a textbook, and as such, the reader should not expect to be able to breeze through it. I read it over the course of a month, highlighting the most important points with a yellow marker, just as I did my textbooks in college. The effort was well worth it. I now feel that I have a practical basis upon which to evaluate the chart of any stock. I know when to buy, when to sell and when to sit and wait. My investing strategy is 1000% better than it was a year ago, and I owe it all to this book."
2,"Want to have a little fun with your guests before you give them alcohol? This is a perfect gift, or conversational piece at a party. It's not impossible, but def makes one work to get the wine bottle out to drink."
1,"We didn't receive this item and called the company to ask why. They said they are no longer making them, but neither the company nor Amazon had bothered to let us know. We did not get a refund as it dragged on and on. I suggest that Amazon discontinue their relationship with parts of the LEGO company. Our grandson was very disappointed as he is a huge LEGO fan. Shame on you, LEGO."
2,"The great god Om chooses to speak to the humans of Discworld about their lack of faith, not through an angel, not in the form of a burning bush but in the form of a turtle, and not a GIANT TURTLE, more like a box turtle. Remember the movie Oh God? Now think about trying to convince the world god speaks through a tiny turtle. Yeah, and it just gets better, Sir Terry's wit will leave you in stitches- or maybe in traction when you throw something out of whack laughing."
1,"While I absolutely love the four agreements and return to the original book often, I found the companion book to be completely unnecessary. The writing style was poor and rambled in circles, constantly repeating itself. There was no new information at all. I seemed to me to be a way to get a little more money out of the concept - shocking considering the author.I did enjoy the last few pages of personal examples from people who had incorporated the four agreements into their lives.If you have the four agreements original book, you don't need this one and if you don't then skip this one and get the original."
2,"Here is a terrifying novel by Cornwell. Her knowledge of medicine and forensic science keeps you turning the page. A woman's body is found in the snow in Central Park. There is no question that the killer is one Temple Brooks Goult. Scarpetta discovers that his killings are a pattern with one ending. It is one of her best. By Ruth Thompson author of ""The Bluegrass Dream"""
1,"I purchased the Triad version of this fantastic movie that said it was the ""Remastered Edition"" it was NOT remastered - the quality was so poor that I had to purchase another copy from VCI Entertainment which is THE BEST QUALITY THAT I HAVE SEEN!"
2,"I can not say enough about Nightwish, masterpeice in all meanings of the word. If I had to chose one CD to be stranded with on a desert island, this is it! All Nighwish is good but this is there greatest, and most epic. Tarja has the most amazing voice, and makes this metal in a catagory all it's own. You have just got to hear it, I can explain the way this album can make you feel. The classical of the future!"
2,"I picked this up a few days ago and have briskly read through the entire novel since then. This is undoubtedly an epic masterpiece. It is one of the best science fiction books I have read to date. The main strength of the novel is a strong story with an excellent setting. The world is one of ancient religions, literal god-like beings, and advanced technology hiding under the mask of supernatural power. I will not spoil the story but will only say that it is told on an epic Lord of the Rings type scale. The allusions to Eastern philosophy and religion is pretty awesome too. For a sci-fi novel the characters were pretty good. They weren't great like in a Dostoevsky novel, but they weren't completely one-dimensional as is the case in too many sci fi novels. In all, it was masterful. If I ever become a sci fi author, Roger Zalazny would be one of my primary role models."
2,"...especially if you know someone who was in WWII. I bought a copy for my father - a retired AF Colonel, who was in WWII. We had the distinct pleasure of meeting Tom Brokaw at the VFW in South Dakota in Nov. 1998 as he toured the country looking for vets whose stories he could share on his television special in Jan. 1999. If you could have seen the look in my father's eyes as he relived some of his best and worst memories. If only I could have had an autographed copy of the book. I will settle for a picture of my father and me as we talked with Tom about his days growing up in So Dakota and his love for the brave soldiers that worked so hard to maintain the freedoms for all of us. God Bless you all.....all of you who have ever been to battle. Only you can know it's horror. Our thanks is all we have to offer."
1,"The card isn't very good and stores pictures too slowly, especialy as you start to fill up the memory. Also SimpleTech's customer support isn't too good. Not one person could tell me what the 'Error Application' message meant when using the Simple Tech CompactFlash Card Reader to get pictures from the card.Stay away from this company."
2,"'Meddle'/'Atom Heart Mother' era Pink Floyd. That's not a bad thing -- that's a good thing (I did say 'Meddle' era, not the later stuff, after all) V-e-r-y atmospheric, v-e-r-y psychedelic. Oh, I know, it's probably neither of those things to a lot of you, but that's MY take on this collection. And it's probably a reference more people can relate to than obscure/British bands a lot of people have never heard of. Hey, I LIKE this cd. But I didn't find it groundbreaking. It's simply tilling some ground that hasn't been harvested in a while."
2,"The majority of cuts on the CD are run of the mill soundtrack fair. That being said, the CD is worth the purchase price for ""Until"" written and performed by Sting. I predict it will become an ageless favorite!"
1,"Would it ever be excepted during World War II for a Jewish girl to befriend a Germain? How about a Nazi? This book is all about breaking the rules and following your heart. Patty comes from a family where the only person who loves her is their maid Ruth. But, that all changes on day when she is working in her father's shop and some of the POW soilders come in and she meets on who is not like the rest. He is handsome, smart, and extremely liturate. After that one time meeting all she can think about is him. One night she sees' him going and trying to hope a train and see calls to him and he comes to see her. She then hides him in her garage. She then sees' an add in the paper saying that Anton was missing from the camp. She was questioned by agents. So will she tell them everything they want to know? Or will she save her Germain soidier?"
2,This is an eminently readable translation though I still prefer Arthur W. Ryder's translation. I believe Ryder's translation is currently out of print.
1,"This was the scariest book on twins that I read. If you want to be afraid to eat, sleep or breathe during your entire pregnancy than this is your kind of book. Almost every chapter focuses on a negative aspect of carrying more than one baby and there are more chapters on what can go wrong than what to do to help things go right."
1,"First of all, to the reviewer below me who called him ""a true American idol""--no, he's not. Even I know he lost, and I don't even watch that show. Next, his song ""Invisible"" is one of the worst I've ever heard. It shouldn't be ""If I WAS invisible""; it should be ""If I WERE invisible."" Plus, if you were invisible, you'd ""Watch me in my room?"" Mommmmy!"
1,"It takes a lot for me to not like a movie, and Rollerball managed to pull it off.I can't decide where it went wrong, or if it just was never right. The whole motorcycle chase thing to the border was unnecessary and seemed wedged into the movie; kinda unnatural. And the fact that the whole sequence was filmed in nightvision was just plain weird. I don't know what gave them that idea. The brief nudity seemed to come out of nowhere and added little to the plot. I had to rewind it to try and understand why on Earth it suddenly happened. The action sequences were ok, but considering what the plot was, it seemed overly dramatic. I work at Blockbuster, and this is one of the few movies that I tell people not to even bother with."
2,"Plankton steals the king's crown. Patrick and SB go to a dangerous city and get back the crown. Lots of tushy jokes.Dad says: Also featured are David Hasslehoff's pecs, cute princess Mindy who has a heart, sundae binge drinking and secret plan Z in this kind-of coming of age movie."
1,This c.d. is definitly not what you are expecting. Some of the songs have like 3 different words fpr like five minutes. I definitly don't recomend it.
