id,creationdate,score,viewcount,title,answercount,tags,quest_name
48051028,2018-01-01 15:49:18,0,1728,Convert a string to date Format: DD-MMM-YYYY to date time in Python,1,"python, string, pandas, date, dataframe",Viky N
48051100,2018-01-01 15:56:55,4,8925,python pandas merge multiple csv files,3,"python, pandas, csv, datetime",Sayed Gouda
48051178,2018-01-01 16:08:11,0,235,Python. creating Pie chart using existing Object?,0,"python-3.x, pandas, matplotlib, jupyter-notebook, pie-chart",Aziz Bokhari
48051257,2018-01-01 16:19:03,-1,73,Join two Dataframe table,2,"python, pandas",doron
48051767,2018-01-01 17:30:03,0,272,Creating Bigrams Phrases of a Column in Pandas using Gensim and attaching it to the to same dataframe,0,"pandas, nlp, word2vec, gensim, word-embedding",Rahul rajan
48051800,2018-01-01 17:35:02,1,1987,Why DBSCAN clustering returns single cluster on Movie lens data set?,3,"python, pandas, cluster-analysis, dbscan",T3J45
48052125,2018-01-01 18:20:39,5,2640,Why do I get an AttributeError when using pandas apply?,3,"python, pandas, dataframe, apply, attributeerror",LPR
48052572,2018-01-01 19:24:43,0,40,Creating a Backup Dataframe from Entries Discarded by Pandas drop_duplicates(),1,"python, pandas",HMLDude
48052898,2018-01-01 20:11:21,0,267,Merging pandas dataframes on dictionary,1,"python, pandas",Bjoern
48053134,2018-01-01 20:48:31,1,310,Accessing the columns of pivot table in Python Pandas,0,"python, pandas, data-science, pandasql",dharmendra mishra
48053139,2018-01-01 20:49:10,0,1002,Pandas - Turning column of mixed positive / negative numbers to positive,3,"python, pandas",Jasper
48053207,2018-01-01 21:02:52,1,5753,Writing single CSV header with pandas,1,"python, pandas, csv, dataframe, header",HelloToEarth
48053220,2018-01-01 21:04:52,1,343,Python/Pandas Subtract Only if Value is not 0,2,"python-3.x, pandas, dataframe, subtraction",Kimmy
48053389,2018-01-01 21:32:49,0,168,DBAPI syntax with pd.read_sql_query() call,1,"python, pandas, sqlite3",3novak
48053470,2018-01-01 21:43:38,2,105,Why don't these two table join in Python?,3,"python, python-3.x, pandas",dre
48053823,2018-01-01 22:37:57,2,73,Tokenize and count tokens in grouped Pandas dataframe,0,"python, pandas, nlp, nltk, tokenize",user9161710
48053885,2018-01-01 22:47:55,0,328,"Pandas: df.equals always returns false, even if True",2,"python, pandas",Jasper
48053972,2018-01-01 23:03:20,0,532,"Pandas: ""data type datetime not understood"" error in date offset operation",0,"pandas, numpy, datetime",iwbabn
48053981,2018-01-01 23:04:29,0,222,What is the most efficient way to dedupe a Pandas dataframe that has typos?,1,"python, pandas, nlp, python-dedupe",CJ Sullivan
48054298,2018-01-02 00:13:05,0,35,Finding nearest timeindex for many categories,2,"python, pandas, time-series",tales
48054473,2018-01-02 00:57:05,2,322,Python Pandas - from data frame create an array or matrix for multiplication,2,"python, arrays, pandas, numpy, matrix",
48054704,2018-01-02 01:47:34,2,980,TypeError: Cannot convert value dtype('<M8[ns]') to a TensorFlow DType,1,"pandas, numpy, tensorflow",CpILL
48055245,2018-01-02 03:23:08,0,28,How to get the last work week of the last month in previous year in Python Pandas?,1,"python-3.x, pandas, datetime",Shi Jie Tio
48055379,2018-01-02 03:48:16,0,86,Which Python Magic Method is Pandas Using?,2,"python, pandas, getter-setter",HaPsantran
48055428,2018-01-02 03:58:45,1,70,How to ensure the first work week start with 1 in python pandas?,1,"python, pandas, python-datetime",Shi Jie Tio
48055894,2018-01-02 05:17:22,0,63,Add data from multiple dataframe by its index using pandas,1,"python, pandas",Fregy
48055924,2018-01-02 05:21:47,1,183,How to use the diff() function in pandas but enter the difference values in a new column?,1,"pandas, dataframe, diff, difference",David Phooter
48056568,2018-01-02 06:37:41,1,24,Add Time column by adding timedelata in pandas,1,pandas,Shubham
48056977,2018-01-02 07:15:06,3,2764,Pandas merge TypeError: object of type 'NoneType' has no len(),1,"python, pandas",Chia Yi
48057033,2018-01-02 07:20:04,1,99,Slice the column list (years) based on first character,1,"python, pandas, list-comprehension, data-science",Tytire Recubans
48057864,2018-01-02 08:38:01,0,155,Pandas: Select all rows between two rows,2,"python, pandas",ThP
48058173,2018-01-02 09:05:41,3,63,Python dataframe: simple string split that includes '-',2,"python, string, pandas, dataframe, split",Kang
48058304,2018-01-02 09:16:43,1,354,How to apply series in isocalendar function in pandas python,1,"python, pandas, datetime",Shi Jie Tio
48058917,2018-01-02 10:06:03,1,14,Joining dfs horizontaly with different axis output Nan values on one of the df values,1,pandas,ge00rge
48059985,2018-01-02 11:16:58,2,229,pandas create boolean column using groupby transform,2,"python, python-3.x, pandas, pandas-groupby",daiyue
48059994,2018-01-02 11:17:43,0,161,Mark Empty values in Pandas DataFrame Multi-Row Header,3,"python, pandas, csv, dataframe",Krzysztof Słowiński
48060754,2018-01-02 12:09:38,0,29,"How to fill rows automatically in pandas, from the content found in a column?",1,"python, pandas",Reinaldo Chaves
48060775,2018-01-02 12:11:18,2,58,How to get full spelling of month is using calender module in python pandas?,2,"python, python-3.x, pandas, datetime, calendar",Shi Jie Tio
48061197,2018-01-02 12:39:11,3,98,"Pandas set_levels, how to avoid sorting of labels?",2,"python, pandas, multi-index",Dark
48061547,2018-01-02 13:04:03,0,30,Reading csv with several subgroups,1,"python-2.7, pandas",gussilago
48061793,2018-01-02 13:19:56,0,496,Alternatives to pandas apply due to MemoryError,1,"python, pandas, dataframe, apply",john
48062296,2018-01-02 13:56:40,1,37,Pandas: Keep dataframes from dict that exclude certain values,1,"python, pandas, dictionary",ThP
48062375,2018-01-02 14:02:34,0,95,Python Dataframe: Drop Rows if Column Contains Value From List --> Value TypeError: unhashable type: 'list',0,"python, list, pandas, dataframe, conditional",PineNuts0
48062788,2018-01-02 14:32:46,0,241,Pandas - calculate row value based on previous calculated row value,1,"python, pandas",bdriven
48062858,2018-01-02 14:36:41,1,49,Data Analyzed by Python CSV,2,"python, python-2.7, pandas, csv, dataframe",Martin Bouhier
48062996,2018-01-02 14:46:31,1,1005,Assign values to columns based on conditions in a pandas dataframe,3,"python, pandas, condition",Shuvayan Das
48063047,2018-01-02 14:49:46,3,1251,Airflow integration with BgQuery Error,2,"python, pandas, google-bigquery, airflow, apache-airflow",Tia
48063307,2018-01-02 15:09:04,1,54,Pandas Multiindex selecting row skipping one level,4,pandas,Ranny
48063620,2018-01-02 15:30:57,2,4027,pandas read_csv() for multiple delimiters,1,pandas,user77005
48063807,2018-01-02 15:44:48,0,677,Data slicing a pandas frame - I'm having problems with unique,1,pandas,user1361529
48064206,2018-01-02 16:09:59,0,71,Numpy repeat to odd length index,0,"python, pandas, numpy",Tony
48064446,2018-01-02 16:25:29,0,36,How can I parse my CSV file,1,"python, pandas, csv",Stef Reyes
48064468,2018-01-02 16:27:16,1,39,Merging multi-index dataframes based on similar groups/indexes,1,"python, pandas, sorting, merge",Mohammad ElNesr
48064965,2018-01-02 17:01:32,1,633,drop unused categories using groupby on categorical variable in pandas,2,"python, pandas",tales
48065402,2018-01-02 17:37:20,1,170,output table to left of horizontal bar chart with pandas,1,"python, python-3.x, pandas, matplotlib",Binoy Fernandez
48066517,2018-01-02 19:12:03,24,33297,Python: Pandas pd.read_excel giving ImportError: Install xlrd >= 0.9.0 for Excel support,7,"python, excel, python-2.7, pandas",Vineeth Sai
48066677,2018-01-02 19:26:31,0,57,Filter item iteration in dataframe (with FOR or any other)?,3,"python, pandas, dataframe, filter, iteration",Newbie
48066933,2018-01-02 19:47:03,0,112,"Pandas, sorting days whilst preserving order",2,"python, pandas",Jasper
48067021,2018-01-02 19:54:01,2,561,Pandas DataFrame apply or map dictionary valueassign column to function of MultiIndex value,3,"python, pandas, dictionary, dataframe, multi-index",feetwet
48067038,2018-01-02 19:55:01,0,242,Pandas .cov() not positive semidefinite,0,"pandas, math, matrix, covariance",Pat
48067318,2018-01-02 20:19:58,0,442,Python - to_csv,1,"python, pandas, amazon-redshift",jumpman23
48067726,2018-01-02 20:55:19,0,52,python classify predictions,0,"python, pandas, scikit-learn",jumpman8947
48067912,2018-01-02 21:13:12,0,700,pd.concat with multiindex,1,"pandas, multi-index",Jeff Tilton
48068270,2018-01-02 21:45:11,1,623,Pandas - delete rows based on multiple `or` conditions,1,"python, pandas",Craig
48068607,2018-01-02 22:18:24,0,26,New nulls when assigning series to dataframe column,1,"python, pandas, dataframe, null",Austin
48068850,2018-01-02 22:43:43,0,242,How to Use Pandas to Combine Dataframes with Duplicate Index Values,1,"python-3.x, pandas, dataframe",Kimmy
48068938,2018-01-02 22:55:11,2,671,set new index for pandas DataFrame (interpolating?),3,"pandas, numpy, interpolation",blokeley
48069000,2018-01-02 23:01:28,0,45,Writing value to given filed in csv file using pandas or csv module,1,"python, excel, pandas, csv",hikamare
48069497,2018-01-03 00:01:14,1,240,How do I import multiple excel files and merge them using openpyxl,0,"python, excel, pandas, csv, openpyxl",Carolina Estrella
48069954,2018-01-03 01:14:14,1,205,pd.read_csv killed when Reading large files,0,"python, pandas, boto3",DPs
48070143,2018-01-03 01:47:40,0,40,pandas (python) - reshaping two columns into one,1,"python, pandas, numpy, scipy",bullion352
48070351,2018-01-03 02:19:47,-1,33,None values populating while merging list to a single column dataframe,1,"python, pandas, dataframe",Rahul rajan
48070697,2018-01-03 03:17:29,0,750,can we predict two columns of a dataframe at same time?,2,"python, python-3.x, pandas, scikit-learn, sklearn-pandas",ganesh konathala
48070828,2018-01-03 03:38:54,0,88,Validate that Values in DataFrame Found in List,1,"python, list, pandas, validation, dataframe",Chris Woodruff
48071001,2018-01-03 04:05:31,1,117,Pandas -- Type error from Pivot,1,"python, pandas",unclegood
48071205,2018-01-03 04:33:08,-1,79,Getting data from S3 (client) to our S3 (company),2,"pandas, amazon-web-services, apache-spark, amazon-s3, pyspark",Raghunandan Sk
48071432,2018-01-03 05:01:10,1,170,Advance Rolling mean (with conditions applying) in pandas dataframe,1,"python, pandas",PUJA
48071456,2018-01-03 05:03:34,-1,205,"Python Pandas Join, Merge and Concat",1,"python, pandas, data-science",dharmendra mishra
48071662,2018-01-03 05:28:28,0,366,Select multiple columns with an interval in pandas dataframe,2,"python, pandas",mandar
48071970,2018-01-03 05:59:58,1,157,Is it possible to split a Pandas dataframe using groupby and merge each group with separate dataframes,1,"python, python-3.x, pandas, pandas-groupby",user1718097
48072484,2018-01-03 06:44:55,0,25,Customize reading pandas data frame of type pandas.core.series.Series,0,"python, pandas, series",ramkrishna
48072537,2018-01-03 06:49:11,2,49,Pandas Dataframe groupby year and find top item,2,"python, pandas, dataframe, pandas-groupby",el323
48073021,2018-01-03 07:31:47,0,30,Simulating online desicion making in Python,1,"python, pandas",Roy
48073661,2018-01-03 08:23:57,1,298,Aggregate dataframe based on 2 categorical columns and value of 1 python,1,"python, pandas, group-by",PeCaDe
48073718,2018-01-03 08:28:06,1,516,Word Replacement in text corpus using word2vec similarity dictionary in a pandas dataframe,1,"python, pandas, string-matching, word2vec, gensim",Shany Eapen
48074166,2018-01-03 09:02:17,1,283,Python Pandas SUMPRODUCT and L Matrix caluclation,1,"python, excel, pandas, numpy-einsum",Marx Babu
48074180,2018-01-03 09:03:03,1,135,replace a pandas series with the closest values from another series,1,"python, pandas",ihadanny
48074845,2018-01-03 09:46:49,0,51,Add indicator to inform where the data came from Python,1,"python, pandas, concatenation, indicator",Charlie0210
48075312,2018-01-03 10:13:29,1,282,Pandas multiple dataframes into single,1,"python, pandas, web-scraping, concatenation",Chris
48076385,2018-01-03 11:23:06,1,15,Filter out according to specific multiple conditions in pandas,1,pandas,Bella
48076607,2018-01-03 11:36:51,1,42,Fast way to replace value in sparse dataframe with value from dictionary,1,"python, pandas",famargar
48077878,2018-01-03 12:56:51,0,225,Pandas dataframe groupby top N items,2,"python, pandas, group-by, pandas-groupby",el323
48078134,2018-01-03 13:14:15,0,47,How to prevent output command from printing in Jupyter notebook?,0,"pandas, jupyter-notebook",Alex Trevylan
48078558,2018-01-03 13:38:16,0,225,Python pandas DataFrame memory error,0,"python, pandas, out-of-memory",Kornel
48078589,2018-01-03 13:40:23,0,49,what is the most efficient way to search for a string in a pandas column?,0,"python, string, list, pandas, append",Muhammed Eltabakh
48079043,2018-01-03 14:09:58,2,34,find new exporting destinies: Data science - groupby and isin,3,"python, pandas, group-by",Lucas Dresl
48079362,2018-01-03 14:29:34,1,179,How to find row which has the minimum overall distance from the other rows of the pandas dataframe,1,"python, pandas, distance",user3806649
48080567,2018-01-03 15:41:07,0,28,Map dataframe column value by another column's value,2,"python, performance, pandas",Breton
48081800,2018-01-03 16:57:10,0,645,Pandas automatically converting field type on read_csv,1,"python, pandas",Growler
48081837,2018-01-03 16:59:32,1,550,pandas resample apply np.average,2,"python, pandas, resampling, pandas-apply",dreab
48081901,2018-01-03 17:03:41,1,207,Can somebody explain Pandas bin precision?,1,"python, python-2.7, pandas, floating-point",komodovaran_
48081927,2018-01-03 17:05:28,1,46,Adding a new column based on values of another column in Pandas(python),3,"python, pandas",Dawn17
48082018,2018-01-03 17:11:12,2,58,How to create dataframe of top 5 close words to a particular word lists from a dictionary in pandas,1,"python, string, pandas, word2vec, gensim",pankaj
48082257,2018-01-03 17:28:19,0,46,Pandas - Creating a Dataframe from a list of Dataframes based on some conditions,2,"python, pandas, dataframe",NixMan
48082403,2018-01-03 17:38:30,1,159,Pandas - Groupby + Shift not working as expected,2,"python, pandas, group-by",Walt Reed
48082515,2018-01-03 17:46:01,2,69,combine rows into single cell,3,"python, pandas, group-by",Kvothe
48082523,2018-01-03 17:46:38,2,712,"Pandas: Split large file into seperate files by Date, preserving original ordering.",2,"python, pandas, pandas-groupby",Jasper
48083074,2018-01-03 18:24:22,1,114,Conditional Concatenation Based on String Value in Column,1,"python, string, pandas",PineNuts0
48083093,2018-01-03 18:25:11,1,53,"Pandas: per individual, find number of records that are near the current observation. Apply vs transform",2,"python, pandas, apply, pandas-groupby",cd98
48083226,2018-01-03 18:34:38,0,54,Fancy indexing with portion of string in pandas,1,"python, pandas",The Nightman
48083405,2018-01-03 18:48:30,21,5290,What are the differences between feather and parquet?,1,"python, pandas, parquet, feather, pyarrow",Darkonaut
48083843,2018-01-03 19:21:50,1,256,Pandas set element style dependent on another dataframe mith multi index,1,"python, pandas, multi-index",Jeff Tilton
48083944,2018-01-03 19:29:42,2,38,Eliminating duplicated rows by dropping varying columns and aggregating remaining rows,3,"python, pandas, dataframe, group-by, pandas-groupby",ParalysisByAnalysis
48084356,2018-01-03 20:02:24,2,589,How to use generators in Pandas,2,"python, pandas, generator",Iwan
48084451,2018-01-03 20:09:46,-1,77,Creating new pandas columns with original value plus random number in error range,2,"python, pandas, numpy",menrva
48084971,2018-01-03 20:53:04,0,638,Search for specific string in multiple excel files,2,"python, excel, python-3.x, pandas",Rasmus Bidstrup
48085579,2018-01-03 21:46:08,0,133,pandas dataframe apply function over column creating multiple columns,2,"python, pandas, apply",Joseph Noirre
48085956,2018-01-03 22:15:06,0,43,How to assign a number to a value falling in a certain bin,1,"python, pandas",Patthebug
48086457,2018-01-03 23:10:37,1,43,Combine rows in a DataFrame & add the value as a column,4,"python, pandas, dataframe, pandas-groupby",rishabh
48087534,2018-01-04 01:34:37,2,2022,Checking a Pandas Dataframe for Outliers,1,"python, pandas",Adi
48087693,2018-01-04 02:02:05,0,38,consolidating duplicate index values into single row (single index) pandas,1,"python, pandas",thomas.mac
48087700,2018-01-04 02:02:53,0,121,Counter Column in Pandas DataFrame where it changes based on other column,1,"python, pandas, calculated-columns",Harold Chaw
48087707,2018-01-04 02:03:36,1,75,Shifting a date time index,1,"python, pandas",Saeed
48088128,2018-01-04 03:08:58,0,1048,Matplotlib bar chart show x-ticks only at non-zero bars,2,"python, pandas, matplotlib, plot, figure",XyledMonkey
48088265,2018-01-04 03:29:45,0,87,"Create a ""directional"" pandas pct_change function",1,"python, pandas, math, percentage",cwse
48088686,2018-01-04 04:29:24,2,727,"Remove duplicates from rows and columns (cell) in a dataframe, python",4,"python, pandas, dataframe",PAstudilloE
48088750,2018-01-04 04:37:54,1,137,Sometimes Getting empty DataFrame while using SQL query through pandas.read_sql_query,0,"python, sql, sqlite, pandas",aditass
48088917,2018-01-04 04:59:19,0,28,break up dateframe into smaller pieces by date,0,"python, pandas, datetime, chunking",user3757265
48088965,2018-01-04 05:05:35,1,106,subsetting pandas dataframe,2,"python, pandas, subset",Niccola Tartaglia
48089141,2018-01-04 05:24:03,0,40,How to write words having similarity above .6 to a specific word from a dictionary to a dataframe in pandas,1,"python, string, pandas, word2vec, gensim",Rahul rajan
48089786,2018-01-04 06:25:20,2,426,How to query a numerical column name in pandas?,1,"python, pandas, pandas-query",Dark
48090128,2018-01-04 06:53:34,3,208,Fill nulls until certain column value in Pandas,2,"python, pandas",Iyad Al aqel
48090227,2018-01-04 07:01:26,2,906,Rolling Gradient for Pandas Dataframe column,2,"python, pandas, gradient, rolling",cwse
48090657,2018-01-04 07:34:00,-1,153,How to pick the rows which contains all the keywords?,2,"python, pandas",Prabu
48090691,2018-01-04 07:36:25,1,150,Pandas plot table is not plotting all the columns,0,"python, pandas, matplotlib, plot",Nitesh kumar
48090732,2018-01-04 07:39:47,1,132,"Pandas, Postgres, and Daylight Savings Time (DST)",0,"python, postgresql, pandas, python-3.6",davidrpugh
48092427,2018-01-04 09:39:16,0,2131,forward fill (ffill) based on group and previous row pandas,2,"python, pandas",A H
48093234,2018-01-04 10:24:58,2,53,"How does a double ""for"" work in list comprehension?",1,"python, python-3.x, pandas",Archan Joshi
48093269,2018-01-04 10:27:12,0,728,Python ValueError: Can only compare identically-labeled Series objects,1,"python, pandas",Python Learner
48093437,2018-01-04 10:37:49,1,687,"How to read a CSV file with multiple headers into two DataFrames in pandas, one with the headers and one with the data with some headers removed?",1,"python, pandas, csv, dataframe",Krzysztof Słowiński
48093693,2018-01-04 10:53:48,0,135,Python (pandas._libs.tslib.Timestamp) - Returning Values,0,"python, pandas, timestamp",RiskTech
48094160,2018-01-04 11:21:40,1,47,"Python Multi-Index: Finding cordinates with level 2 index, DataFrame",1,"python, pandas, dataframe, indexing, multi-index",Kang
48094572,2018-01-04 11:44:31,3,337,Find the column index which has the maximum value for each row,3,"pandas, argmax",msksantosh
48094854,2018-01-04 12:01:18,3,16658,Python convert object to float,2,"python, pandas",Almog Woldenberg
48097742,2018-01-04 14:48:42,4,2543,geopandas point in polygon,2,"python, pandas, geopandas, point-in-polygon",Kvothe
48097849,2018-01-04 14:54:49,2,74,pandas dataframe search column of by list,1,"python, pandas",Steffen Kaminski
48098128,2018-01-04 15:09:32,2,156,Counting cumulative occurrences of values based on date window in Pandas,3,"python, pandas",dimitris_ps
48098331,2018-01-04 15:21:23,1,211,Bar plot with date range cuts bars in plotly,1,"python, pandas, plotly",user32185
48098415,2018-01-04 15:26:51,0,44,Call a function on an object and assign the return to the same object at the same time,2,"python, pandas",salhin
48098753,2018-01-04 15:44:58,0,74,Python matplotlib 2 y axis components,3,"python-3.x, pandas, matplotlib, data-science",HenryHub
48099555,2018-01-04 16:30:27,1,55,Sorting all the values in a pandas matrix,3,"python, pandas, sorting",Mike
48099843,2018-01-04 16:45:37,1,264,Compare timestamps in subsequent records with pandas,1,"python, database, pandas, dataframe, pandas-groupby",Sharonio
48100356,2018-01-04 17:16:49,0,69,Appending row values of a CSV file if duplicate,2,"python, pandas, dataframe",Macterror
48100608,2018-01-04 17:33:38,-2,39,"Pandas not plotting the kind ""line""",1,"python, pandas, matplotlib",wazo
48100919,2018-01-04 17:53:17,0,345,Python Pandas: Ploting GPS track as it evolves in time,1,"python, pandas, gps, time-series",dokondr
48101301,2018-01-04 18:19:50,0,306,Python: Pandas data-frame inside a function,1,"function, pandas",Ashok
48101314,2018-01-04 18:20:22,0,298,Loop through grouped data - Python/Pandas,1,"python, pandas, pandas-groupby",natnay
48101560,2018-01-04 18:37:39,1,81,Expand list column into values and days with Pandas,2,"python, pandas",jnard0ne
48101897,2018-01-04 19:03:52,2,166,Boolean Logic Comparing Data From Two Pandas Dataframes,2,"python, python-3.x, pandas, numpy, scikit-learn",HMLDude
48102138,2018-01-04 19:21:30,1,73,How would I insert missing rows into this data set?,1,"python, pandas, numpy",Michael Melillo
48102713,2018-01-04 20:01:48,0,435,Fuzzy Match List with Column in a data frame,1,"python, string, pandas, match, fuzzywuzzy",EEPBAH
48103154,2018-01-04 20:34:10,0,57,Dataframe Comparison,3,"python-3.x, pandas, numpy",Tyler Russell
48103323,2018-01-04 20:46:27,0,311,Cannot do AND operation on 2 columns of pandas dataframe,1,"python, pandas, dataframe",Sachin Myneni
48103536,2018-01-04 21:02:52,4,248,Stripping proper nouns from text,2,"python, python-3.x, pandas, spacy",LMGagne
48103749,2018-01-04 21:21:13,0,77,"Pandas convert to percent, groupby, and transform",1,"python, pandas, dataframe",DH_III
48103801,2018-01-04 21:24:36,0,318,Matplotlib put x ticks above bar,2,"python, pandas, matplotlib, plot, figure",XyledMonkey
48103845,2018-01-04 21:28:33,4,2439,Python Pandas Sum Values in Columns If date between 2 dates,2,"python, pandas, dataframe, pandas-groupby, melt",clg4
48103892,2018-01-04 21:32:06,2,74,Python DataFrame Replace '+',2,"python, pandas, dataframe, replace",MethJordan
48104291,2018-01-04 22:07:12,1,446,Large data with pivot table using Pandas,1,"python, pandas, dataframe, bigdata, pivot-table",Dat Nguyen
48104933,2018-01-04 23:11:42,1,48,counting number of new values per month in pandas dataframe,1,"python-2.7, pandas",Hirotaka Nakagame
48105458,2018-01-05 00:15:25,0,22,Appending Rows From an Same Dataframe,0,"python-3.x, pandas, spyder",Christopher Ell
48105485,2018-01-05 00:18:26,0,49,How can I concat Dataframe?,1,"python-3.x, pandas",Stef Reyes
48105937,2018-01-05 01:24:54,1,170,Unable to fillna a column in dataframe with values from a series,1,"python, pandas, dataframe",Sachin Myneni
48106341,2018-01-05 02:19:19,1,30,Clearing certain data from column dataframe,3,"python, pandas",Adam
48106822,2018-01-05 03:27:25,0,63,Concat files using pandas python,1,"python, excel, pandas, concat",brianvu1892
48107089,2018-01-05 04:10:51,0,240,Feature Union with Pandas: Properly Selecting Columns?,0,"pandas, machine-learning, scikit-learn",thewhitetie
48107528,2018-01-05 05:11:54,2,551,Insert pandas dataframe into mongodb,1,"python, pandas, dataframe, pymongo",TB.M
48107796,2018-01-05 05:40:14,0,622,PANDAS: Wrong column names while importing data from csv file,1,"python, pandas, csv, import-from-csv",aditass
48107922,2018-01-05 05:52:25,0,498,How to replace a string using a dictionary containing multiple values for a key in python,1,"python, regex, pandas, dictionary",Rahul rajan
48107991,2018-01-05 05:58:12,0,88,Create a source target pandas dataframe from strings of flows,2,"python, pandas",user3139545
48109011,2018-01-05 07:25:53,1,641,How to get the percentage of each value in a row basis row total in python,2,"python, pandas",Shuvayan Das
48109266,2018-01-05 07:45:00,1,51,Conditionally filling values in Pandas Dataframe,1,"python, pandas, dataframe",RiskTech
48109418,2018-01-05 07:57:53,2,835,Sankey diagram in Plotly not showing any graph,1,"python, pandas, plotly",user3139545
48109520,2018-01-05 08:07:37,2,134,Add a flag indicating that a column has changed for each group in pandas,1,"python, pandas",Keiku
48109624,2018-01-05 08:15:42,2,134,Python pandas - how to group close elements,1,"python, algorithm, pandas, group-by",Binyamin Even
48109936,2018-01-05 08:37:19,2,399,Convert column of a pandas dataframe from string to list type,0,"python, pandas",Nayana Madhu
48110421,2018-01-05 09:14:08,3,574,Slice a Pandas dataframe with DatetimeIndex based on time interval,1,"pandas, datetime, dataframe, slice",Swedish Mike
48111231,2018-01-05 10:04:07,0,34,Python 2.7 Subset a groupby dataframe based on another groupby,1,"python, pandas",doyz
48111324,2018-01-05 10:10:04,1,241,Pandas: apply operation with generated list is not callable,2,"python, pandas",Jasper
48111404,2018-01-05 10:14:23,2,27,Pandas groupby column1 apply max on column2 and corresponding value of column3 in result,0,"python, pandas, dataframe, pandas-groupby",el323
48111638,2018-01-05 10:27:40,1,295,python deprecated pd.convert_objects(convert_numeric=True) works the alternative one malfunctions,1,"python, pandas, dataframe",Marx Babu
48111656,2018-01-05 10:28:30,0,18,how to make R datafile to Python type,1,"pandas, dataframe, rpy2",김경환
48111657,2018-01-05 10:28:37,2,30,Slicing a dataframe on column names or alternative column name if they are not available,1,"python, pandas, dataframe, slice",ThatQuantDude
48111790,2018-01-05 10:36:47,1,185,"Read "".db"" dictionary type file into pandas DataFrame",2,"python, pandas, dataframe, import",WBM
48112468,2018-01-05 11:15:20,0,48,How to replace text corpus using a matching word from dictionary using Regex,0,"python, regex, pandas",Snehal pankaj
48113872,2018-01-05 12:42:13,-2,67,numpy.where does not work properly with pandas dataframe,1,"python, pandas, numpy, jupyter-notebook",Jyotirmay
48114054,2018-01-05 12:52:16,0,1868,How to remove outliers correctly and define predictors for linear model?,2,"python, pandas, numpy, scikit-learn",krakowi
48114587,2018-01-05 13:26:57,1,67,Downsampling from 1 month to multiple months in Pandas,1,"python, pandas, time-series",Jacques Thibodeau
48115308,2018-01-05 14:10:32,1,217,Converting pandas dataframe to json is slow,1,"python, json, django, pandas",schmoozed
48115310,2018-01-05 14:10:37,1,740,calculate average value from pandas dataframe,1,"python, pandas, dataframe",bikuser
48115481,2018-01-05 14:22:06,3,980,"pandas, combine rows based on certain column values and NAN",4,"python, pandas",Mohammad Athar
48115563,2018-01-05 14:26:22,2,30,Formatting datetime stamp,1,"python, pandas, dataframe, timestamp",may
